hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
아나,Support,All,antarctic-peninsula,남극 반도,2026-04-26,47.5,39.5,-0.656312470639083,3.7013019741124937,2.306742306229634,0.5289094401084038,A
안란,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,51.0,11.4,0.4669068583070055,2.517696472610991,0.5666989955506037,0.5068237132044449,A
애쉬,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,48.4,4.7,-0.3674846431958035,1.7404661748405046,-0.5759235917700499,-0.450860222625502,B
에코,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,49.0,4.0,-0.1749327582336164,1.6094379124341005,-0.7685509927249543,-0.4123800520301516,B
엠레,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,50.3,16.3,0.2422629925177869,2.8507065015037334,1.0562640342638945,0.56786340921623,A
오리사,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,47.4,12.5,-0.6884044514661146,2.6026896854443837,0.6916493031119074,-0.1363829496349058,B
우양,Support,All,antarctic-peninsula,남극 반도,2026-04-26,52.2,12.0,0.8520106282313797,2.5649493574615367,0.6361664541676622,0.7656729586058928,S
위도우메이커,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,38.2,0.6,-3.640866687552975,0.4700036292457355,-2.4436572674973296,-3.161982919530717,C
윈스턴,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,50.1,9.3,0.1780790308637261,2.33214389523559,0.2939142538172025,0.2244131200451166,A
일리아리,Support,All,antarctic-peninsula,남극 반도,2026-04-26,55.7,11.3,1.9752299571774683,2.509599262378372,0.5547951166969173,1.4070560209852478,S
자리야,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,51.4,9.5,0.5952747816151296,2.3513752571634776,0.3221866829630768,0.4860395421543084,A
정커퀸,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,51.4,2.8,0.5952747816151296,1.33500106673234,-1.1720063644357246,-0.1116376768052121,B
정크랫,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,48.4,3.6,-0.3674846431958035,1.5260563034950494,-0.8911320475476926,-0.5769436049365592,C
제트팩 캣,Support,All,antarctic-peninsula,남극 반도,2026-04-26,44.2,3.0,-1.7153478379311085,1.3862943611198906,-1.0965990148851157,-1.4678483087127112,C
젠야타,Support,All,antarctic-peninsula,남극 반도,2026-04-26,52.0,9.1,0.7878266665773166,2.312535423847214,0.2650874281318693,0.5787309711991376,S
주노,Support,All,antarctic-peninsula,남극 반도,2026-04-26,48.5,8.7,-0.335392662368772,2.272125885509337,0.2056805169750262,-0.1189633906312527,B
캐서디,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,49.0,25.3,-0.1749327582336164,3.269568939183719,1.6720425025585908,0.5638573460832664,A
키리코,Support,All,antarctic-peninsula,남극 반도,2026-04-26,50.3,52.7,0.2422629925177869,3.983413001514819,2.721479653662944,1.23394965697585,S
토르비욘,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,52.2,2.4,0.8520106282313797,1.2237754316221157,-1.3355215070267772,-0.023002225871883,B
트레이서,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,51.0,13.0,0.4669068583070055,2.6390573296152584,0.7451141407494549,0.5781897712839853,S
파라,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,52.4,5.5,0.9161945898854406,1.8718021769015911,-0.3828437762843905,0.396579243417508,A
프레야,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,45.2,2.2,-1.3944280296607976,1.1631508098056809,-1.4246470370452768,-1.4065156326145891,C
한조,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,48.1,3.8,-0.463760585676896,1.5686159179138452,-0.8285642643796025,-0.6096820571579786,C
해저드,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,52.6,7.4,0.9803785515395036,2.128231705849268,-0.0058613391970844,0.5858825952448684,S
시에라,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,52.3,34.4,0.7387773256108164,3.5667118201397288,2.0878297319100216,1.2783982881304985,S
